week,date,ID,treat,totalmass,bagmass,mass,original_mass_2_27,SVL,deltamass,percentofstartweight,percentgrowthrate,notes,crickseaten,cricksfed,propcrick,percpercgrowthrate
13,5_22_2019,76,0.45,14.15,7.75,6.4,6.05,58.2,-0.25,1.05785124,0.962406015,,,,,
13,5_22_2019,81,0.45,14.5,7.75,6.75,4.6,55.8,-0.2,1.467391304,0.971223022,,,,,
13,5_22_2019,13,1.35,13,7.75,5.25,5.5,54.5,-0.85,0.954545455,0.860655738,,,,,
13,5_22_2019,22,1.35,14.6,7.8,6.8,7.9,58.6,-0.2,0.860759494,0.971428571,,,,,
13,5_22_2019,24,1.35,12.4,7.75,4.65,6.4,57.5,0.15,0.7265625,1.033333333,,,,,
13,5_22_2019,27,1.35,NA,NA,NA,NA,,NA,NA,NA,,,,,
13,5_22_2019,49,1.35,11.95,7.75,4.2,6.5,59.2,-0.4,0.646153846,0.913043478,,,,,
13,5_22_2019,58,1.35,15.65,7.8,7.85,7.5,62.3,0.1,1.046666667,1.012903226,,,,,
13,5_22_2019,66,1.35,13.65,7.75,5.9,5.35,56.8,-0.1,1.102803738,0.983333333,,,,,
13,5_22_2019,77,1.35,14.5,7.75,6.75,6.75,58.7,-0.15,1,0.97826087,,,,,
13,5_22_2019,78,1.35,13.7,7.75,5.95,5.5,61,-0.05,1.081818182,0.991666667,,,,,
13,5_22_2019,82,1.35,14.5,7.75,6.75,5.3,57.8,0,1.273584906,1,,,,,
13.28571429,5_24_2019,11,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
13.28571429,5_24_2019,75,0,13.85,7.75,6.1,4.75,58.4,-0.45,1.284210526,0.93129771,,,,,
13.28571429,5_24_2019,23,0,17.55,7.75,9.8,8.8,62,-0.05,1.113636364,0.994923858,,,,,
13.28571429,5_24_2019,29,0,14.55,7.75,6.8,5.8,57.2,-0.2,1.172413793,0.971428571,,,,,
13.28571429,5_24_2019,33,0,14.9,7.75,7.15,8.2,59.5,-0.45,0.87195122,0.940789474,,,,,
13.28571429,5_24_2019,35,0,13.15,7.75,5.4,6.35,57.6,-0.4,0.850393701,0.931034483,,,,,
13.28571429,5_24_2019,36,0,12.7,7.75,4.95,7.15,57.2,0.2,0.692307692,1.042105263,,,,,
13.28571429,5_24_2019,37,0,14.35,7.75,6.6,6.35,57.4,0.3,1.039370079,1.047619048,,,,,
13.28571429,5_24_2019,45,0,14.45,7.75,6.7,6.8,58.8,0,0.985294118,1,,,,,
13.28571429,5_24_2019,50,0,13.25,7.75,5.5,5.6,56.4,-0.05,0.982142857,0.990990991,,,,,
13.28571429,5_24_2019,8,0.05,14.25,7.75,6.5,6.95,56.2,-0.15,0.935251799,0.977443609,,,,,
13.28571429,5_24_2019,30,0.05,16.2,7.75,8.45,7.65,62.9,-0.25,1.104575163,0.971264368,,,,,
13.28571429,5_24_2019,34,0.05,15,7.75,7.25,7.8,60.8,-0.15,0.929487179,0.97972973,,,,,
13.28571429,5_24_2019,43,0.05,14.45,7.75,6.7,6.1,57.5,-0.05,1.098360656,0.992592593,,,,,
13.28571429,5_24_2019,53,0.05,10.75,7.8,2.95,5.2,57.2,-0.2,0.567307692,0.936507937,,,,,
13.28571429,5_24_2019,55,0.05,11.25,7.8,3.45,5.75,55.4,-0.6,0.6,0.851851852,,,,,
13.28571429,5_24_2019,65,0.05,13.95,7.75,6.2,6.5,61.1,-0.05,0.953846154,0.992,,,,,
13.28571429,5_24_2019,62,0.05,14.1,7.8,6.3,4.85,53.9,0,1.298969072,1,,,,,
13.28571429,5_24_2019,70,0.05,14.4,7.75,6.65,5.9,59.3,-0.1,1.127118644,0.985185185,,,,,
13.28571429,5_24_2019,74,0.05,14.6,7.75,6.85,5.75,59.7,-0.1,1.191304348,0.985611511,,,,,
